实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
北仓,北仓镇,,,,,“北仓”,,,,,,,,,,,,,,,,,,,镇,天津市,,十三个行政村和十个居委会,,,,,,,,,,,,
梁国,南梁(萧梁),,Liang Dynasty,,,梁,,,,,262万平方公里(546年),,,梁铁五铢、太清丰乐等,汉族,,江陵、扬州、福州、益州、会嵇等,,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,哈尔滨,,Harbin(英)、Харбин(俄),,,阿勒锦、冰城、东方莫斯科、东方小巴黎,,,,,,,,,,,,,,,,,,230100,地级市,中国东北地区,"中国东北平原,黑龙江省中南部",9个区、7个县、代管2个县级市,松北区世纪大道1号,太阳岛、中央大街、亚布力滑雪场、冰雪大世界、中华巴洛克等,,,,,,,,,,
美,美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,日,,sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越,越国,,,,,越、于越、於越,,,,,,,,,古越族,,姑苏、奄、邗,,,,,,,,,,,,,,,,,,,,,,,
美济岛,,美济岛,,,,"双门,双沙",,,,,,,,,,,,,,,,,,,村,三沙市南沙区美济社区,"位于北纬9.9082度,东经115.5349度",南沙东北部岛礁,,"渔村美济社区,首任村长林载亮",,,,,,,,,,
渚碧岛,渚碧岛,,Zhubi Jiao、Subi Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北极星,北极星,,Polaris,,,北辰、紫微星、勾陈一、小熊座α星、可爱的北方之光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舟山,舟山,,Zhoushan、Chusan(旧称),,,翁洲、昌国等,,,,,,,,,,,,,,,,,,,地级市,中国华东,"浙江省东部,东海舟山群岛区域",2个市辖区、2个县,定海区新城海天大道681号,普陀山、朱家尖、嵊泗、桃花岛、东极岛等,,,,,,,,,,
萨索特,萨索特,,Vicente Sasot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省军区,省军区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京军区,中国人民解放军北京军区,,Chinese PLA Beijing Military Region,,北京军区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东马,,沙巴砂拉越(简称:沙砂),,,,东马来西亚,,,,,,,,,,,亚庇、山打根、斗湖、古晋、美里,,,,,,,,,马来西亚东部,加里曼丹岛北部,,,,,,,,,,,,,
海域,海域,,sea area;maritime space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
库兹涅佐夫,尼古拉 ̇格拉西莫维奇-库兹涅佐夫,,Николай Герасимович Кузнецов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松口,松口镇,,,,,,,,,,,,,,,,,,,,,,,,镇,广东省梅州市梅县区,梅县区东北部,,,元魁塔,,,,,,,,,,
达沃港,达沃港,, Davao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马尼拉湾,,马尼拉湾,,,,,,,,,,,,,,,,,,,,,,,,,在菲律宾吕宋岛西南,,,,,,,,,,,,,
长兴岛,长兴岛,,Changxing Island,,,橘岛,,,,,,,,,,,,,,,,,,,,,上海市崇明区长江口南,,,长兴岛桔园,,,,,,,,,,
雷达,雷达,,Radar(英文缩写),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨德,末段高空区域防御系统,,Terminal High Altitude Area Defense,,"THAAD,萨德",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高尔夫球场,高尔夫球场,,Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侠客岛,侠客岛,,,,,,,,,,,,,,,,,,,,,,,,,,南海,,,,,,,,,,,,,
巴维,巴维,,"Bavie,Auguste -Jean -Marie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
意,意,,The Home Song Stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佐世保基地,日本佐世保海军基地,,,,,,,,,,,,,,,,,,,,,,,,,,九州岛西北角,,,,,,,,,,,,,
高台县,高台县,,Gaotai County,,,,,,,,,,,,,,,,,,,,,,县,西北地区·甘肃省·张掖市,"河西走廊中部,黑河中游下段",9个镇,城关镇,大湖湾、黑河湿地公园、骆驼城遗址、梧桐泉寺等,,,,,,,,,,
中国工农红军西路军纪念馆,中国工农红军西路军纪念馆,,West Army Memorial of workers' and peasants' Red Army of China,,,,,,,,,,,,,,,,,,,,,,,,甘肃省张掖市高台县,,,,,,,,,,,,,
文昌,,文昌市,,,,紫贝、椰乡、侨乡,,,,,,,,,,,,,,,,,,,省直辖县级市,中国 海南省,海南岛东北部,辖17个镇、3个农场,清澜开发区文府路,铜鼓岭、文昌航天城、东郊椰林、八门湾绿道、七洲列岛、宋氏祖居,,,,,,王晓桥[4] ,钟鸣明[4] ,,,
空间站,空间站,,space station,,,太空站、航天站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文昌航天发射场,文昌航天发射场,,Wenchang Spacecraft Launch Site,,WSLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

	天舟一号",天舟一号货运飞船,,Tianzhou-1 Cargo Spaceship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国空间站,中国空间站,,Chinese Space Station ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爪哇岛,爪哇岛,,Java Island,,,雷岛,,,,,,,,,,,,,,,,,,,,印度尼西亚,,西爪哇 中爪哇 东爪哇 万丹 雅加达 日惹,,婆罗浮屠 普兰巴南 热带植物茂密的乡村,,,,,,,,,,
苏门答腊,苏门答腊岛,,Sumatra Island,,,黄金岛,,,,,,,,,,,,,,,,,,,,印度尼西亚,印度尼西亚西部,十个省,,,,,,,,,,,,
爪哇海,爪哇海,,Laut Jawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏门答腊岛,苏门答腊岛,,Sumatra Island,,,黄金岛,,,,,,,,,,,,,,,,,,,,印度尼西亚,印度尼西亚西部,十个省,,,,,,,,,,,,
塞,塞,,Plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天宫二号,天宫二号空间实验器,,Tiangong 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥巴马,贝拉克·侯赛因·奥巴马,,Barack Hussein Obama,,,巴拉克·欧巴马;奥巴马(简称),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉夫罗夫,拉夫罗夫·谢尔盖·维克托罗维奇[4] ,,Sergey Lavrov[5] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBC,美国全国广播公司,,NBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普京,弗拉基米尔·弗拉基米罗维奇·普京,,"俄罗斯语:Владимир Владимирович Путин,英语:Vladimir Vladimirovich Putin",,,瓦洛佳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雅赛,佩费克托·亚赛,,Perfecto Yasay Jr.,,,小佩尔费克多·亚赛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓟县,蓟州区,,Jizhou District,,,渔阳,,,,,,,,,,,,,,,,,,,市辖区,中国华北,天津市最北部,"1个街道,25个镇,1个民族乡",文昌街道府前街2号,盘山、梨木台风景区、黄崖关长城、九山顶自然风景区、八仙山,,,,,,,,,,
华夏,,,"Hua Xia Bank Co., Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊拉特,伊拉特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨林,,赛麟,,SALEEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吕宋岛,吕宋岛,,Luzon Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
索马利亚,索马利亚,,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渔港,渔港,,fishing port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南小岛,南小岛,,Nanxiao Dao[1] ,,,,,,,,,,,,,,,,,,,,,,,,钓鱼岛东南约5.5千米处,,,,,,,,,,,,,
北小岛,北小岛,,Beixiao Dao[1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飞机库,飞机库,,,,机库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南三亚,三亚市,,Sanya,,,崖州、鹿城,,,,,,,,,,,,,,,,,,460200,地级市,海南省,海南岛南部,4个市辖区,吉阳区,亚龙湾、三亚湾、天涯海角、南山、大小洞天、大东海、鹿回头,,,,,,,,,,
韩流,韩流,,한류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新,新朝,,The Xin Dynasty,,,,,,,,405万平方公里(公元10年),,,货泉,汉族,,洛阳、邯郸、临淄、成都、太原等,,,,,,,,,,,,,,,,,,,,,,,
"""加贺号""",加贺号航空母舰,,Kaga Aircraft carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中 国,中国,,China,,中、华、夏,,CHN,人民代表大会制度,国家主席习近平、国务院总理李克强、全国人大常委会委员长栗战书,北京,"陆地面积960万平方公里,领海约470万平方公里",亚洲,东八区,人民币,汉族,佛教、道教、伊斯兰教、基督教,上海、广州、深圳、武汉、台北、杭州、南京、成都、重庆、沈阳、西安等,汉语,义勇军进行曲,10月1日,,,,,,,,,,,,,,,,,,,,
东昌,东昌,,Dongchang,,,,,,,,,,,,,,,,,,,,,,,山东省,山东省西部、华东华中华北交界处,,,光岳楼、东昌湖,,,,,,,,,,
北礁,,北礁,,,,干豆,,,,,,,,,,,,,,,,,,,,海南省三沙市,中国西沙群岛,,,北礁沉船遗址,,,,,,,,,,
浪花礁,,浪花礁,,,,傍俾礁、兰匿、三筐、三圈、蓬勃礁,,,,,,,,,,,,,,,,,,,,海南省三沙市,中国西沙群岛,,,灯塔,,,,,,,,,,
华光礁,,华光礁,,,,觅出礁、大筐、大塘、大圈,,,,,,,,,,,,,,,,,,,,海南省三沙市,中国西沙群岛,,,,,,,,,,,,,
玉琢礁,,玉琢礁,,,,二筐、二圈、二塘,,,,,,,,,,,,,,,,,,,,海南省三沙市,中国西沙群岛,,,,,,,,,,,,,
伯尼,埃克·莱斯顿,,"Bernard Charles ""Bernie"" Ecclestone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
双鸭山,双鸭山,,Shuangyashan,,,,,,,,,,,,,,,,,,,,,230500,地级市,黑龙江省,中国东北、黑龙江省东北部,4个区、4个县,尖山区世纪大道70号,七星峰、安邦河国家湿地公园、北秀公园、益寿山公园、凤林古城等,,,,,,,,,,
石川县,,石川县,,,,,,,,,,,,,,,,,,,,,,,一级行政区,日本,位于日本北陆地区中部,金泽市等,金泽市,兼六园等,,,,,,,,,,
加里波第,朱塞佩·加里波第,,Giuseppe Garibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿斯图里亚斯,,阿斯图里亚斯自治区,,,,,,,,,,,,,,,,,,,,,,,自治区,,北向坎塔布连海、南接卡斯蒂利亚-莱昂、西邻加利西亚,,奥维耶多Oviedo,,,,,,,,,,,
滇,云南,,Yunnan,,,云、滇,,,,,,,,,,,,,,,,,,,省,中国西南地区,西南边陲,8个地级市、8个自治州,昆明市五华区华山南路78号[6] ,石林、丽江古城、崇圣寺三塔、三江并流等,,,,,,,,,,
缅甸联邦,缅甸联邦共和国,,The Republic of the Union of Myanmar;Myanmar,,缅甸,,MMR,总统制共和制,总统:温敏;国务资政:昂山素季[1] ,内比都,676578 km2,亚洲,UTC+6:30,缅元,缅族、克伦族、掸族、克钦族、钦族、克耶族、孟族、若开族[4] ,上座部佛教,"仰光,勃生,曼德勒,密支那等",缅甸语,《世界不灭》,1948年1月4日,仰光,,,,,,,,,,,,,,,,,,,
昂山,昂山,,Bogyoke Aung San,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秋田县,,秋田县,,,,,,,,,,,,,,,,,,,,,,,,日本,位于日本东北地区西北部,秋田市等,秋田市,田泽湖等,,,,,,,,,,
盘古智库,盘古智库,,Pangoal Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
川普,唐纳德·特朗普[6] ,,Donald Trump,,,Donald John Trump、川普,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乌镇,乌镇,,Wu zhen ancient town,,,乌墩、青墩,,,,,,,,,,,,,,,,,,330400,镇,中国华东,浙江省嘉兴市桐乡市太湖南岸,4个社区和26个行政村,乌镇凤仙路18号,"西栅,茅盾故居,木心美术馆,江浙分府,江南民俗馆,古戏台等[6] ",,,,,,,,,,
丹东,丹东,,Dandong、Antong(英)Даньдун(俄)단동(朝)たんとう(日),,,东北苏杭/北方江南/红色东方之城,,,,,,,,,,,,,,,,,,210600[6] ,地级市,中国辽宁省,辽宁省东南部,元宝区、振兴区、振安区、东港市、凤城市、宽甸满族自治县,新城区银河大街100号,鸭绿江/抗美援朝纪念馆/虎山长城/大鹿岛/天桥沟/青山沟/凤凰山,,,,,,张淑萍[9] ,裴伟东[8] ,,,
北极星2号,,北极星2号,,Pukguksong-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋卿岛,,晋卿岛,,,,"伏波岛,都兰荞岛,四江岛",,,,,,,,,,,,,,,,,,,岛屿,海南省三沙市,中国西沙永乐群岛,,,,,,,,,,,,,
琛航岛,,琛航岛,,,,大三脚岛,,,,,,,,,,,,,,,,,,,,海南省三沙市,中国西沙永乐群岛,,,明代庙宇 西沙琛航岛烈士陵园,,,,,,,,,,
中岛,,中岛,,,,石峙、石岛、二岛,,,,,,,,,,,,,,,,,,,,海南省三沙市,中国西沙群岛里宣德群岛七连屿,,,,,,,,,,,,,
济南军区,中国人民解放军济南军区,,Chinese PLA Ji'nan Military Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英国伦敦,英国伦敦,,Rick Steves England London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挪,挪,,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汕头,汕头,,Swatow、Shantou、スワトウ,,,鮀城(鮀岛),,,,,,,,,,,,,,,,,,440500,地级市,中国华南,广东省东部、韩江三角洲南端,6个市辖区、1个县,金平区大华街道跃进路28号,汕头南澳岛旅游区、汕头小公园、礐石风景区、汕头方特欢乐世界、陈慈黉故居、青澳湾、汕头鸿力水上乐园、中信度假村、丹樱生态旅游区、石炮台公园、北山湾、东里寨、金砂公园、礐石大桥、中山公园、汕头妈屿岛[21] ,,,,,,,,,,
尼加拉瓜,,尼加拉瓜共和国,,The Republic of Nicaragua,尼加拉瓜,,NIC,总统制共和制,总统:奥尔特加[1] ,马那瓜,13.04万平方公里,北美洲,UTC-6,科多巴,印欧混血种人、白人、黑人、印第安人,天主教,"莱昂,马萨亚,布卢菲尔兹等",西班牙语,"《向您致敬,尼加拉瓜》",1821年9月15日,,,,,,,,,,,,,,,,,,,,
圣多美,,圣多美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
	
	     辽宁号",辽宁号航空母舰,,Chinese aircraft carrier Liaoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沙巴州,,沙巴州[4] ,,,,风下之乡(Land Below The Wind)[4] ,,,,,,,,,,,,,,,,,,,州(马来西亚一级行政单位)[5] ,马来西亚[5] ,加里曼丹岛的北部[4] ,西海岸省、内陆省、古达省、山打根省、及斗湖省[5] ,哥打基纳巴卢[4] ,京那巴鲁山、沙巴州博物馆、东姑阿都拉曼海洋公园 等,,,,,,,,,,
毗连区,毗连区,,contiguous zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歇斯底里,歇斯底里,,hysteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拜登,小约瑟夫·罗宾内特·拜登,,Joseph Robinette Biden,,,乔·拜登,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加,加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南方贫困法律中心,南方贫困法律中心,,Southern Poverty Law Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗切斯特市,罗切斯特市,,,,,,,,,,,,,,,,,,,,,,,,市,美国纽约州,纽约州西部,,,,,,,,,,,,,
普鲁德,普鲁德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路易斯维尔市,,路易维尔,,,,,,,,,,,,,,,,,,,,,,,,,肯塔基州中北部,,,河滨公园,,,,,,,,,,
曼德拉,纳尔逊·罗利赫拉赫拉·曼德拉,,Nelson Rolihlahla Mandela,,,南非国父,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莫拉莱斯,埃沃·莫拉莱斯[6] ,,Evo Morales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
棕榈泉市,棕榈泉市 ,,"Palm Spring, California, USA",,,,,,,,,,,,,,,,,,,,,,,,科罗拉多沙漠,,,,,,,,,,,,,
罗切斯特,罗切斯特,,Edward Rochester,,,爱德华,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南安普敦市,,南安普敦,,,,,,,,,,,,,,,,,,,,,,,,英国,英格兰南部海岸,,,,,,,,,,,,,
南加大,南加利福尼亚大学,,University of Southern California,,南加州大学、南加大、USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴顿,小乔治·史密斯·巴顿,,George Smith Patton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑟斯顿县,瑟斯顿县,,"Thurston County, Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛杉矶机场,洛杉矶国际机场,,Los Angeles International Airport,,,,,,,,,,,,,,,,,,,,,,,美国加利福尼亚州洛杉矶县,,,,,,,,,,,,,,
卡梅伦,戴维·威廉·唐纳德·卡梅伦,,David William Donald Cameron,,,"卡梅伦,Dave(昵称) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃里克,埃里克,,Eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉腊,拉腊州,,Estado Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安东诺夫,阿列克谢·因诺肯季耶维奇·安东诺夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
密尔沃基市,,密尔沃基市,,,,,,,,,,,,,,,,,,,,,,,市,美国威斯康星州,密歇根湖西岸,,,,,,,,,,,,,
人工岛,人工岛,,man-made island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特区,特区,,special area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麦迪逊市,,麦迪逊市,,,,四湖之城,,,,,,,,,,,,,,,,,,,戴恩县,美国威斯康星州,"北纬43度4分,西经89度24分",,,,,,,,,,,,,
克利夫兰,克利夫兰骑士队,,Cleveland Cavaliers,,,,,,,,,,,,,,,,,,,,,,,"美国,俄亥俄州,克利夫兰市",,,,,,,,,,,,,,
纳什维尔,纳什维尔,,Nashville,,,音乐城市、南方的雅典,,,,,,,,,,,,,,,,,,,首府,田纳西州,美国中南部,戴维森县,,华纳公园、谢尔比公园、坎伯兰公园,,,,,,Karl Dean,,,,
伯尼·桑德斯,伯尼·桑德斯,,Bernie Sanders[5] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣马特奥县,,圣马特奥县,,,,圣马刁县,,,,,,,,,,,,,,,,,,,县,美国加利福尼亚州,,,,,,,,,,,,,,
圣克鲁斯县,,圣克鲁斯县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNU,辽宁大学,,Liaoning University,,辽大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
索诺玛县,索诺玛县,,Sonoma County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纳帕县,,纳帕县,,,,,,,,,,,,,,,,,,,,,,,,美国加利福利亚州,旧金山市北偏东65公里处,,,,,,,,,,,,,
圣克拉拉县,,圣克拉拉县,,,,圣塔克拉拉县,,,,,,,太平洋时间(-8),,,,,,,,,,,,县,加利福尼亚州,加州中西部,圣何塞、库比蒂诺,圣何塞,硅谷,,,,,,,,,,
布伦特,布兰特·科里根,,Brent Corrigan,,,Fox Ryder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄罗斯卫星,俄罗斯全球导航卫星系统,,GLObal NAvigation Satellite System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布莱克,雅各布·布莱克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马首,马首铜像,,The bronze of horse head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提阿,安提阿,,Antioch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麦迪逊,詹姆斯·麦迪逊,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华盛顿广场公园,,华盛顿广场公园,,,,,,,,,,,,,,,,,,,,,,,,纽约市,美国纽约州纽约曼哈顿区,,,公园内的喷泉,,,,,,,,,,
贺卡,贺卡,,Greeting card,,,"名帖,拜谒,名刺",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
连云港,连云港,,Lianyungang City,,,"山海连云,大圣故里;海州、郁洲、港城",,,,,,,,,,,,,,,,,,,地级市,中国华东、江苏省,"江苏省东北部沿海,海州湾西岸",3个区、3个县,连云港市海州区朝阳东路69号,花果山、东西连岛、海上云台山、孔望山、海州古城、连云老街等,,,,,,,,,,
费尔南德斯,鲁迪·费尔南德斯,,Rudy Fernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴里,巴里·艾伦,,Barry Allen,,,The Flash(闪电侠),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爱琴海,,爱琴海,,,,,,,,,,,,,,,,,,,,,,,,,地中海东北部,,,阿尔忒弥斯神庙遗迹、克里特岛米诺斯王宫,,,,,,,,,,
米克诺斯岛,米克诺斯岛,,Mykonos island,,,密克诺斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨赫勒,萨赫勒地区,,sahil,,,,,,,,,,,,,,,,,,,,,,,,撒哈拉沙漠和中部苏丹草原地区,,,,,,,,,,,,,
格洛斯特县,,格洛斯特县,,,,,,,,,,,,,,,,,,,,,,,县,美国新泽西州,,,,,,,,,,,,,,
海岛市,,海岛市,,,,海岛市政厅,,,,,,,,,,,,,,,,,,,,中国澳门,珠江三角洲西南部,,,,,,,,,,,,,
保亭,,保亭黎族苗族自治县,,,,宝停,,,,,,,,,,,,,,,,,,,自治县,中国 海南省,海南岛中南部,6镇3乡,保城镇,和坊茶楼、七仙岭温泉国家森林公园、呀诺达雨林文化旅游区等,,,,,,,,,,
科萨尔,科萨尔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北加利福尼亚州,,北加利福尼亚州,,,,,,,,,,,,,,,,,,,,,,,,美国北部,美国加利福尼亚州北部,,,,,,,,,,,,,
摩西,摩西,,Moses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温特斯,大卫·温特斯,,David Winters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉尼,索菲亚内·汉尼,,Sofiane Hanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
底特律市,底特律,,Detroit,,,汽车之城”(the Motor City),,,,,,,,,,,,,,,,,,,市,美国中部,"42°19′N,83°2′W",韦恩县,,"底特律河,贝拉岛",,,,,,,,,,
休伦湖,休伦湖,,Lake Huron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加尼,,,Ionel Tersinio Gane,,,伊安利·加尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊斯兰酋长国,,伊斯兰酋长国,,,,,,君主制,,津吉巴尔,约2万平方千米以上,亚洲,,,,伊斯兰教,"津吉巴尔,杰阿尔,舒格拉,沙米,费卢杰",,,2011年5月28日,,,,,,,,,,,,,,,,,,,,
西宁,西宁,,Xining,,,青唐城、西平郡、鄯州、夏都,,,,,,,,,,,,,,,,,,630100,地级市,中国西北地区,"青海省东部,青藏高原东北部",5个区、2个县,城中区南关街43号,青唐城遗址、塔尔寺、东关清真大寺、南禅寺等[10] ,,,,,,张晓容,王晓,,,
比什凯克,,比什凯克,,,,"伏龙芝,吉尔吉斯语Фрунзе",,,,,,,UTC+6,,,,,,,,,,,,,中亚,吉尔吉斯山北麓的楚河谷地中心,,,阿拉亚卡国家公园、米哈伊尔·伏龙芝的纪念雕像、邓小平大街,,,,,,,,,,
欧亚,亚欧大陆,,Eurasia,,,,,,,,,,UTC至UTC+12,,,,,,,,,,,,,,,,,,,,,,,,,,,
逊尼,逊尼派,,أهل السنة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
什叶,什叶派,,الشيعة(阿)、Shi'a(英),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰山,泰山,,Mount Tai,,,岱山、岱宗、岱岳、东岳、泰岳,,,,,,,,,,,,,,,,,,,,,山东省泰安市,,,,,,,,,,,,,
西半球,西半球,,The western hemisphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃尔比勒省,,埃尔比勒省,,,,,,,,,,,,,,,,,,,,,,,省,伊拉克东北,"位于该国北部,东与伊朗、北与土耳其接壤",,埃尔比勒市,,,,,,,,,,,
中都,,中都,,,,,,,,,,,,,,,,,,,,,,,,,安徽省凤阳县,,,明皇陵、明中都皇城遗址,,,,,,,,,,
拉夫·劳伦,,拉夫·劳伦,,RALPH LAUREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三里屯,,三里屯,,,,,,,,,,,,,,,,,,,,,,,,,北京市朝阳区中西部,,,"三里屯太古里,那里花园,使馆区",,,,,,,,,,
陆港,国际陆港,,land port,,陆港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加勒,加勒,,Johann Gottfried Galle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加国,加拿大,,Canada,,,,CAN,议会制君主立宪制,总督:朱莉·帕耶特、总理:贾斯廷·特鲁多,渥太华,9980000 km2,北美洲,UTC-3.5至UTC-8,加拿大元,"主要为英、法等欧洲后裔,土著居民约占3%",天主教(45%)、基督教新教(36%),"多伦多,蒙特利尔,温哥华,卡尔加里,埃德蒙顿,魁北克等",英语、法语,"《啊,加拿大》",7月1日(加拿大日),,,,,,,,,,,,,,,,,,,,
